code,company,fiscal_year,quarter,file_type,account_type,consoli_type,submit,zip_id,sales_prior,sales_pct_yoy_prior,sales_current,sales_pct_yoy_current,sales_next,sales_pct_yoy_next,operating_income_prior,operating_income_pct_yoy_prior,operating_income_current,operating_income_pct_yoy_current,operating_income_next,operating_income_pct_yoy_next,operating_income_progress_ratio,operating_income_on_sales_ratio_prior,operating_income_on_sales_ratio_current,operating_income_on_sales_ratio_next,operating_cf_margin_prior,operating_cf_margin_current,ordinary_income_prior,ordinary_income_pct_yoy_prior,ordinary_income_current,ordinary_income_pct_yoy_current,ordinary_income_next,ordinary_income_pct_yoy_next,pretax_income_prior,pretax_income_pct_yoy_prior,pretax_income_current,pretax_income_pct_yoy_current,pretax_income_next,pretax_income_pct_yoy_next,net_income_prior,net_income_pct_yoy_prior,net_income_current,net_income_pct_yoy_current,net_income_next,net_income_pct_yoy_next,net_income_on_sales_prior,net_income_on_sales_current,net_income_on_sales_next,eps_prior,eps_current,eps_next,roe,roa,dividend_prior,dividend_next,payout_ratio_prior,payout_ratio_next,total_assets_prior,total_assets_current,net_assets_prior,net_assets_current,capital_ratio_prior,capital_ratio_current,outstanding_stock_current,treasury_stock_current,operating_cf_prior,operating_cf_current,investing_cf_prior,investing_cf_current,financing_cf_prior,financing_cf_current,cash_prior,cash_current
1352,株式会社 ホウスイ,2019-03-31,Q3,tanshin,日本基準,連,2019-01-31,TD2019013100637,56544000000.0,0.1,59285000000.0,4.8,73600000000.0,-0.4,779000000.0,9.0,555000000.0,-28.8,710000000.0,-15.2,78.2,1.4,0.9,1.0,,,814000000.0,8.8,444000000.0,-45.5,570000000.0,-35.7,,,,,,,470000000.0,-11.4,144000000.0,-69.2,250000000.0,-41.0,0.8,0.2,0.3,56.24,17.3,29.84,2.4,1.4,,,,,,39943000000.0,,6509000000.0,,14.8,,,,,,,,,,
1352,株式会社 ホウスイ,2019-03-31,Q3,tanshin,日本基準,単,2019-01-31,TD2019013100637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,8379000.0,5312.0,,,,,,,,
1514,住石ホールディングス株式会社,2019-03-31,Q3,tanshin,日本基準,連,2019-01-31,TD2019013100223,11659000000.0,44.1,14991000000.0,28.6,20000000000.0,38.9,149000000.0,56.5,104000000.0,-29.6,140000000.0,6.2,74.3,1.3,0.7,0.7,,,1985000000.0,387.6,476000000.0,-76.0,1100000000.0,-58.1,,,,,,,1797000000.0,464.3,849000000.0,-52.7,1622000000.0,-24.5,15.4,5.7,8.1,32.05,15.53,29.65,6.7,0.6,,,,,,16449000000.0,,12801000000.0,,77.2,,,,,,,,,,
1514,住石ホールディングス株式会社,2019-03-31,Q3,tanshin,日本基準,単,2019-01-31,TD2019013100223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,58892853.0,4533806.0,,,,,,,,
1723,日本電技株式会社>>,2019-03-31,Q3,tanshin,日本基準,単,2019-01-30,TD2019013000245,11775000000.0,-20.4,12809000000.0,8.8,27500000000.0,1.2,-396000000.0,,-71000000.0,,2750000000.0,-0.6,-2.6,-3.4,-0.6,10.0,,,-344000000.0,,-18000000.0,,2800000000.0,-1.1,,,,,,,-198000000.0,,-26000000.0,,1900000000.0,-7.6,-1.7,-0.2,6.9,-24.72,-3.26,237.39,-0.1,-0.2,,71.0,,,,30344000000.0,,19208000000.0,,63.3,8197500.0,193812.0,,,,,,,,
1730,麻生フオームクリート株式会社,2019-03-31,Q3,tanshin,日本基準,単,2019-02-01,TD2019020100130,2945000000.0,-5.7,3141000000.0,6.7,4531000000.0,20.1,-92000000.0,,-56000000.0,,-27000000.0,,207.4,-3.1,-1.8,-0.6,,,-88000000.0,,-48000000.0,,-16000000.0,,,,,,,,-128000000.0,,-45000000.0,,-27000000.0,,-4.3,-1.4,-0.6,-37.74,-13.37,-12.64,-3.6,-1.5,,5.0,,,,3711000000.0,,1260000000.0,,34.0,3420000.0,6194.0,,,,,,,,
1775,富士古河Ｅ＆Ｃ株式会社,2019-03-31,Q3,tanshin,日本基準,連,2019-01-30,TD2019013000246,50365000000.0,-2.5,57670000000.0,14.5,82000000000.0,2.2,1502000000.0,-36.0,2186000000.0,45.6,4700000000.0,9.0,46.5,3.0,3.8,5.7,,,1498000000.0,-36.7,2156000000.0,44.0,4600000000.0,6.8,,,,,,,870000000.0,-45.9,1381000000.0,58.7,3000000000.0,5.0,1.7,2.4,3.7,96.82,153.66,333.55,6.8,4.2,,,,,,51736000000.0,,20945000000.0,,39.0,,,,,,,,,,
1775,富士古河Ｅ＆Ｃ株式会社,2019-03-31,Q3,tanshin,日本基準,単,2019-01-30,TD2019013000246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,9026561.0,33144.0,,,,,,,,
1777,川崎設備工業株式会社,2019-03-31,Q3,tanshin,日本基準,単,2019-01-31,TD2019013100139,17436000000.0,20.0,15899000000.0,-8.8,23500000000.0,-3.2,1122000000.0,78.2,935000000.0,-16.6,1300000000.0,-7.0,71.9,6.4,5.9,5.5,,,1136000000.0,76.6,957000000.0,-15.7,1310000000.0,-6.5,,,,,,,968000000.0,120.7,635000000.0,-34.4,850000000.0,-26.4,5.6,4.0,3.6,80.97,53.09,71.05,8.2,5.6,,10.0,,,,16582000000.0,,7702000000.0,,46.5,12000000.0,35798.0,,,,,,,,
1788,株式会社 三東工業社>>,2019-06-30,Q2,tanshin,日本基準,単,2019-01-31,TD2019013100224,2444000000.0,3.0,2451000000.0,0.3,5000000000.0,-8.2,3000000.0,-96.3,56000000.0,,80000000.0,42.3,70.0,0.1,2.3,1.6,,,9000000.0,-88.3,67000000.0,581.0,90000000.0,21.4,,,,,,,10000000.0,-84.4,40000000.0,278.0,70000000.0,-4.5,0.4,1.6,1.4,15.82,59.8,102.12,1.5,1.6,,40.0,,,,3611000000.0,,2682000000.0,,74.3,686000.0,559.0,,,,,,,,
1798,株式会社　守谷商会>>,2019-03-31,Q3,tanshin,日本基準,連,2019-01-31,TD2019013100226,27014000000.0,-0.8,28321000000.0,4.8,39000000000.0,-3.8,814000000.0,-35.9,1010000000.0,24.1,1000000000.0,-31.3,101.0,3.0,3.6,2.6,,,857000000.0,-38.5,1070000000.0,24.8,1050000000.0,-29.9,,,,,,,599000000.0,-38.2,852000000.0,42.2,750000000.0,-18.8,2.2,3.0,1.9,273.54,390.43,342.45,9.2,4.1,,,,,,24415000000.0,,9255000000.0,,37.9,,,,,,,,,,
1798,株式会社　守谷商会>>,2019-03-31,Q3,tanshin,日本基準,単,2019-01-31,TD2019013100226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,2260000.0,84116.0,,,,,,,,
1832,北海電気工事株式会社,2019-03-31,Q3,tanshin,日本基準,連,2019-01-30,TD2019013000341,35969000000.0,17.0,32372000000.0,-10.0,51500000000.0,-2.6,537000000.0,,176000000.0,-67.2,900000000.0,-38.8,19.6,1.5,0.5,1.7,,,700000000.0,,358000000.0,-48.9,1040000000.0,-36.7,,,,,,,406000000.0,,222000000.0,-45.2,670000000.0,-35.2,1.1,0.7,1.3,21.07,11.54,34.75,1.0,0.5,,,,,,33038000000.0,,21187000000.0,,64.1,,,,,,,,,,
1832,北海電気工事株式会社,2019-03-31,Q3,tanshin,日本基準,単,2019-01-30,TD2019013000341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,19722027.0,439598.0,,,,,,,,
1850,南海辰村建設株式会社,2019-03-31,Q3,tanshin,日本基準,連,2019-01-30,TD2019013000363,29282000000.0,-7.5,32559000000.0,11.2,42800000000.0,5.5,1487000000.0,-19.5,1624000000.0,9.2,2340000000.0,2.2,69.4,5.1,5.0,5.5,,,1427000000.0,-19.9,1603000000.0,12.3,2260000000.0,2.7,,,,,,,927000000.0,-24.5,1202000000.0,29.6,1550000000.0,48.5,3.2,3.7,3.6,32.18,41.71,53.77,9.6,4.6,,,,,,35109000000.0,,12471000000.0,,35.5,,,,,,,,,,
